날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 08월 12일,"31,815,000","31,798,000","31,934,000","31,650,000",1.08K,0.05%
2022년 08월 11일,"31,798,000","31,600,000","32,849,000","31,541,000",0.85K,0.63%
2022년 08월 10일,"31,600,000","31,019,000","32,015,000","30,500,000",1.09K,1.87%
2022년 08월 09일,"31,020,000","31,459,000","31,701,000","30,586,000",0.49K,-1.40%
2022년 08월 08일,"31,459,000","30,707,000","31,900,000","30,701,000",5.64K,2.45%
2022년 08월 07일,"30,707,000","30,490,000","30,893,000","30,450,000",1.01K,0.71%
2022년 08월 06일,"30,490,000","30,774,000","30,862,000","30,460,000",0.62K,-0.92%
2022년 08월 05일,"30,774,000","30,310,000","30,965,000","30,250,000",1.39K,1.53%
2022년 08월 04일,"30,310,000","30,676,000","31,007,000","30,135,000",1.27K,-1.23%
2022년 08월 03일,"30,689,000","30,772,000","31,416,000","30,447,000",1.66K,-0.27%
2022년 08월 02일,"30,772,000","30,862,000","31,075,000","30,195,000",1.72K,-0.29%
2022년 08월 01일,"30,862,000","30,745,000","31,072,000","30,412,000",1.24K,0.37%
2022년 07월 31일,"30,749,000","31,272,000","31,790,000","30,729,000",1.60K,-1.64%
2022년 07월 30일,"31,263,000","31,423,000","32,485,000","31,191,000",1.66K,-0.49%
2022년 07월 29일,"31,416,000","31,234,000","31,925,000","30,927,000",1.78K,0.58%
2022년 07월 28일,"31,235,000","30,187,000","31,582,000","29,830,000",2.11K,3.47%
2022년 07월 27일,"30,187,000","28,385,000","30,465,000","28,148,000",2.73K,6.37%
2022년 07월 26일,"28,380,000","28,508,000","28,550,000","27,692,000",1.67K,-0.45%
2022년 07월 25일,"28,508,000","29,818,000","29,918,000","28,435,000",2.05K,-4.39%
2022년 07월 24일,"29,818,000","29,716,000","30,219,000","29,505,000",1.38K,0.30%
2022년 07월 23일,"29,729,000","30,058,000","30,279,000","29,185,000",0.99K,-1.09%
2022년 07월 22일,"30,058,000","30,438,000","31,200,000","29,860,000",1.95K,-1.25%
2022년 07월 21일,"30,438,000","30,496,000","30,847,000","29,583,000",2.29K,-0.14%
2022년 07월 20일,"30,482,000","30,702,000","31,798,000","30,160,000",2.71K,-0.72%
2022년 07월 19일,"30,702,000","29,407,000","31,093,000","28,480,000",3.14K,4.40%
2022년 07월 18일,"29,408,000","27,494,000","29,664,000","27,450,000",2.67K,7.01%
2022년 07월 17일,"27,482,000","27,865,000","28,455,000","27,425,000",1.20K,-1.37%
2022년 07월 16일,"27,865,000","27,608,000","28,397,000","27,117,000",1.34K,0.99%
2022년 07월 15일,"27,593,000","27,117,000","27,778,000","26,891,000",6.39K,1.80%
2022년 07월 14일,"27,106,000","26,628,000","27,500,000","26,084,000",2.52K,1.80%
2022년 07월 13일,"26,628,000","25,704,000","26,698,000","25,207,000",2.20K,3.59%
2022년 07월 12일,"25,704,000","26,450,000","26,529,000","25,608,000",2.01K,-2.82%
2022년 07월 11일,"26,450,000","27,326,000","27,337,000","26,406,000",1.72K,-3.21%
2022년 07월 10일,"27,326,000","28,207,000","28,216,000","27,166,000",1.60K,-3.12%
2022년 07월 09일,"28,207,000","28,268,000","28,618,000","27,952,000",1.38K,-0.22%
2022년 07월 08일,"28,268,000","28,138,000","29,003,000","27,773,000",3.16K,0.45%
2022년 07월 07일,"28,141,000","26,947,000","28,350,000","26,577,000",2.77K,4.43%
2022년 07월 06일,"26,947,000","26,534,000","27,039,000","26,119,000",1.62K,1.56%
2022년 07월 05일,"26,534,000","26,424,000","27,247,000","25,530,000",1.95K,0.42%
2022년 07월 04일,"26,424,000","25,432,000","26,540,000","25,102,000",1.19K,3.90%
2022년 07월 03일,"25,432,000","25,433,000","25,870,000","24,973,000",0.55K,0.00%
2022년 07월 02일,"25,432,000","25,536,000","25,663,000","25,162,000",0.36K,-0.42%
2022년 07월 01일,"25,539,000","26,000,000","27,162,000","25,071,000",0.83K,-1.80%
2022년 06월 30일,"26,008,000","26,528,000","26,591,000","24,641,000",1.59K,-1.96%
2022년 06월 29일,"26,528,000","26,560,000","26,750,000","26,130,000",1.04K,-0.11%
2022년 06월 28일,"26,558,000","27,030,000","27,421,000","26,425,000",1.07K,-1.72%
2022년 06월 27일,"27,024,000","27,429,000","27,850,000","26,813,000",0.69K,-1.51%
2022년 06월 26일,"27,438,000","27,849,000","28,325,000","27,396,000",1.08K,-1.48%
2022년 06월 25일,"27,849,000","27,611,000","27,963,000","27,256,000",0.86K,0.90%
2022년 06월 24일,"27,601,000","27,407,000","27,905,000","26,934,000",1.23K,0.71%
2022년 06월 23일,"27,407,000","26,156,000","27,467,000","26,074,000",1.31K,4.77%
2022년 06월 22일,"26,158,000","26,995,000","27,190,000","25,963,000",1.67K,-3.10%
2022년 06월 21일,"26,995,000","26,638,000","27,976,000","26,482,000",1.42K,1.34%
2022년 06월 20일,"26,638,000","26,656,000","27,171,000","25,600,000",1.89K,-0.13%
2022년 06월 19일,"26,674,000","25,027,000","26,955,000","23,764,000",2.39K,6.57%
2022년 06월 18일,"25,030,000","26,971,000","27,318,000","23,796,000",3.32K,-7.16%
2022년 06월 17일,"26,961,000","26,807,000","27,872,000","26,543,000",0.86K,0.57%
2022년 06월 16일,"26,807,000","29,199,000","29,588,000","26,612,000",2.17K,-8.19%
2022년 06월 15일,"29,199,000","28,825,000","29,477,000","26,612,000",3.71K,1.30%
2022년 06월 14일,"28,825,000","29,306,000","30,121,000","27,261,000",1.89K,-1.65%
2022년 06월 13일,"29,308,000","34,624,000","35,025,000","28,734,000",3.23K,-15.37%
2022년 06월 12일,"34,629,000","37,062,000","37,164,000","34,617,000",1.19K,-6.56%
2022년 06월 11일,"37,062,000","37,652,000","37,933,000","36,626,000",0.95K,-1.62%
