날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 08월 12일,"2,506,000","2,498,000","2,513,000","2,475,000",11.54K,0.32%
2022년 08월 11일,"2,498,000","2,448,000","2,558,000","2,443,000",8.45K,2.04%
2022년 08월 10일,"2,448,000","2,281,000","2,485,000","2,232,000",11.06K,7.32%
2022년 08월 09일,"2,281,000","2,349,000","2,371,000","2,236,000",6.28K,-2.89%
2022년 08월 08일,"2,349,000","2,252,000","2,391,000","2,246,000",7.18K,4.31%
2022년 08월 07일,"2,252,000","2,245,000","2,284,000","2,224,000",3.59K,0.31%
2022년 08월 06일,"2,245,000","2,295,000","2,312,000","2,241,000",6.12K,-2.18%
2022년 08월 05일,"2,295,000","2,153,000","2,298,000","2,148,000",7.56K,6.60%
2022년 08월 04일,"2,153,000","2,174,000","2,214,000","2,122,000",6.07K,-0.97%
2022년 08월 03일,"2,174,000","2,183,000","2,240,000","2,138,000",6.48K,-0.50%
2022년 08월 02일,"2,185,000","2,162,000","2,225,000","2,081,000",11.59K,1.06%
2022년 08월 01일,"2,162,000","2,215,000","2,245,000","2,137,000",9.58K,-2.39%
2022년 07월 31일,"2,215,000","2,242,000","2,302,000","2,200,000",12.18K,-1.20%
2022년 07월 30일,"2,242,000","2,276,000","2,295,000","2,222,000",9.97K,-1.45%
2022년 07월 29일,"2,275,000","2,260,000","2,326,000","2,187,000",16.95K,0.66%
2022년 07월 28일,"2,260,000","2,151,000","2,328,000","2,109,000",16.05K,5.07%
2022년 07월 27일,"2,151,000","1,936,000","2,157,000","1,903,000",28.41K,11.16%
2022년 07월 26일,"1,935,000","1,925,000","1,941,000","1,815,000",15.57K,0.62%
2022년 07월 25일,"1,923,000","2,108,000","2,126,000","1,922,000",18.14K,-8.78%
2022년 07월 24일,"2,108,000","2,050,000","2,183,000","2,047,000",7.09K,2.83%
2022년 07월 23일,"2,050,000","2,036,000","2,100,000","1,980,000",13.59K,0.84%
2022년 07월 22일,"2,033,000","2,070,000","2,164,000","2,013,000",9.76K,-1.79%
2022년 07월 21일,"2,070,000","1,997,000","2,108,000","1,935,000",8.18K,3.66%
2022년 07월 20일,"1,997,000","2,025,000","2,122,000","1,975,000",12.80K,-1.38%
2022년 07월 19일,"2,025,000","2,073,000","2,140,000","1,968,000",13.49K,-2.41%
2022년 07월 18일,"2,075,000","1,768,000","2,089,000","1,765,000",18.37K,17.36%
2022년 07월 17일,"1,768,000","1,781,000","1,819,000","1,747,000",9.10K,-0.73%
2022년 07월 16일,"1,781,000","1,624,000","1,870,000","1,581,000",15.50K,9.80%
2022년 07월 15일,"1,622,000","1,570,000","1,630,000","1,558,000",34.33K,3.31%
2022년 07월 14일,"1,570,000","1,467,000","1,596,000","1,424,000",14.44K,7.02%
2022년 07월 13일,"1,467,000","1,380,000","1,470,000","1,346,000",8.09K,6.30%
2022년 07월 12일,"1,380,000","1,453,000","1,454,000","1,377,000",8.17K,-5.02%
2022년 07월 11일,"1,453,000","1,530,000","1,536,000","1,450,000",8.07K,-5.03%
2022년 07월 10일,"1,530,000","1,589,000","1,593,000","1,517,000",3.91K,-3.71%
2022년 07월 09일,"1,589,000","1,590,000","1,606,000","1,577,000",1.99K,-0.13%
2022년 07월 08일,"1,591,000","1,609,000","1,650,000","1,567,000",6.37K,-1.24%
2022년 07월 07일,"1,611,000","1,555,000","1,629,000","1,525,000",8.04K,3.60%
